市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
13207,5429,412,1083,766,464,4939,350,1009,721,408
13208,14152,646,3083,1919,1219,13315,736,3201,1961,1262
13209,17063,1225,3071,2219,1481,15373,1168,3211,2006,1249
13210,9238,380,1882,1375,879,7745,464,1761,1181,710
13211,10842,613,2003,1465,931,9705,535,2060,1249,763
13212,9267,460,2020,1206,749,8481,461,1837,1213,689
13213,7098,581,1215,937,644,6119,482,1318,795,469
13214,8983,442,1824,1340,810,7392,391,1796,1115,624
13215,4789,288,872,615,421,4539,260,944,619,371
13218,2993,212,635,390,241,3364,220,782,418,277
13219,4713,238,1028,637,406,4619,264,1076,680,470
13220,3389,242,647,471,291,3110,232,607,406,309
13221,3818,320,697,499,315,3089,274,611,416,199
13222,5391,476,970,661,471,4738,354,957,597,369
13223,2606,188,399,326,265,2803,183,479,321,241
13224,6447,506,1135,794,522,6230,499,1317,764,542
13225,4655,338,882,679,452,4032,257,853,592,324
13227,2154,161,415,272,193,2689,168,505,314,235
13228,2663,326,388,304,207,2604,256,479,272,208
13229,11777,657,2170,1623,1112,10340,686,2247,1318,870
13300,2196,422,268,240,161,1895,142,345,216,154
13303,1228,126,171,163,97,1228,75,235,143,107
13305,643,165,74,56,41,506,51,82,56,36
13307,103,53,5,2,6,50,6,13,2,4
13308,222,78,18,19,17,111,10,15,15,7
13360,679,27,109,69,57,800,57,72,81,80
13361,454,19,72,43,35,520,34,45,50,48
13362,43,2,10,5,3,48,2,6,7,4
13363,88,4,15,10,5,120,15,10,12,12
13364,94,2,12,11,14,112,6,11,12,16
13380,198,8,40,33,15,209,21,32,29,16
13381,172,8,31,27,14,178,18,29,23,13
13382,26,0,9,6,1,31,3,3,6,3
13400,402,25,46,63,51,417,35,48,57,35
13401,375,24,43,54,49,388,35,43,51,33
13402,27,1,3,9,2,29,0,5,6,2
13420,279,5,51,45,18,331,12,35,56,38
13421,279,5,51,45,18,331,12,35,56,38
14000,454317,27865,94854,62912,39860,424743,26649,90459,60422,38721
14001,443133,26667,93273,61591,38916,414029,25642,88545,59255,37884
14002,11184,1198,1581,1321,944,10714,1007,1914,1167,837
14100,199502,12293,41687,28017,17822,187055,12480,39470,26747,17229
14101,15841,611,3848,2215,1314,15527,825,3672,2345,1457
14102,16821,668,4055,2361,1374,15646,886,3716,2526,1482
14103,8847,288,2198,1396,826,8435,457,1921,1338,905
14104,13074,881,2231,1672,1275,10769,815,1871,1534,1008
14105,12432,754,2629,1616,1027,11463,884,2663,1607,1054
14106,11267,732,2219,1452,940,10217,762,2300,1363,838
14107,8539,628,1561,1249,785,8348,671,1629,1211,758
14108,7750,501,1378,964,681,7884,607,1556,959,646
14109,22830,826,5880,3574,2059,20799,1016,4837,3525,2189
14110,12171,895,2387,1862,1094,11180,802,2229,1536,1037
14111,9477,702,1880,1371,879,8924,711,1853,1217,782
14112,9185,831,1788,1226,767,9032,784,1861,1188,766
14113,9033,750,1794,1265,798,8339,552,1693,1174,782
14114,4835,491,948,642,404,4765,372,935,586,395
14115,5444,432,957,699,476,5331,436,925,657,462
14116,5922,583,1194,809,513,5615,432,1141,780,435
14117,15536,980,2900,2160,1527,14543,877,2893,1954,1273
14118,10498,740,1840,1484,1083,10238,591,1775,1247,960
14130,97199,4277,23843,14259,8280,91612,4391,21733,14731,9314
14131,14249,671,3393,1817,1117,13685,783,3401,2053,1269
14132,9775,435,2525,1561,909,9409,534,2116,1561,1062
14133,19812,520,5534,3126,1673,19000,654,4813,3539,2166
14134,15424,750,3911,2327,1348,14885,664,3377,2452,1615
14135,15457,562,4068,2143,1127,14008,584,3550,2269,1288
14136,12933,767,2503,1953,1239,11805,679,2585,1604,1125
14137,9549,572,1909,1332,867,8820,493,1891,1253,789
14150,31940,2478,6494,4224,2572,29578,1855,6248,3981,2510
14151,6577,527,1324,845,539,6860,425,1371,914,567
14152,11752,1039,2245,1483,922,10519,674,2145,1321,878
14153,13611,912,2925,1896,1111,12199,756,2732,1746,1065
14201,13067,657,1874,1300,950,14449,794,2324,1666,1021
14203,8313,653,1517,972,675,7419,503,1544,958,560
14204,7741,529,1271,1137,857,6362,658,1106,801,618
14205,19104,1236,3758,2764,1850,15860,963,3358,2195,1344
14206,6200,519,1076,778,531,6397,421,1294,754,484
14207,8531,578,1566,1174,851,7402,531,1494,936,663
14208,2314,209,316,317,272,1960,204,327,273,165
14210,1187,156,160,135,81,1209,140,225,121,79
14211,5245,440,857,621,391,5222,358,1048,665,367
14212,8750,513,1703,1095,743,8918,458,1871,1224,756
14213,12127,702,2677,1757,1088,10255,574,2360,1466,983
14214,4304,273,952,529,347,4391,263,951,599,377
14215,6883,432,1497,1077,641,5299,292,1188,745,486
14216,6280,403,1245,900,547,5818,405,1187,800,493
14217,1136,130,195,118,81,1364,97,241,162,118
14218,3310,189,585,417,337,3459,255,576,431,317
14300,1159,117,96,131,139,1063,148,154,88,73
14301,1159,117,96,131,139,1063,148,154,88,73
14320,1997,142,365,271,170,1648,98,317,218,138
14321,1997,142,365,271,170,1648,98,317,218,138
14340,1950,248,209,231,175,1825,205,311,181,160
14341,1081,135,126,122,89,954,111,165,83,86
14342,869,113,83,109,86,871,94,146,98,74
14360,2191,189,354,282,213,2236,135,412,270,215
14361,240,24,29,31,23,282,21,49,28,19
14362,627,53,100,70,62,579,26,109,73,45
14363,330,29,52,44,32,603,31,103,75,82
14364,250,17,26,32,28,251,21,44,30,22
14366,744,66,147,105,68,521,36,107,64,47
14380,2237,374,311,213,122,2245,316,393,217,126
14382,1062,94,173,123,50,1082,113,222,113,52
14383,206,44,12,14,17,207,42,26,18,11
14384,969,236,126,76,55,956,161,145,86,63
14400,1650,128,246,193,125,1697,105,327,193,125
14401,1577,111,240,187,118,1605,99,318,176,119
14402,73,17,6,6,7,92,6,9,17,6
15000,56368,3257,10843,7247,4687,62139,3393,11326,7287,4738
15001,54550,3030,10547,7026,4547,59830,3166,10942,7059,4582
15002,1818,227,296,221,140,2309,227,384,228,156
15100,28076,1588,5476,3649,2373,27868,1525,5238,3486,2256
